participant_id,task,condition,predicted_accuracy,fsm_number,fsm_type,mm_accuracy,count_nan
14,explanation,hidden_an_subset,0.5,21.0,easy,,
15,explanation,visible,0.5,21.0,easy,0.0,0.0
15,explanation,hidden,0.5,21.0,easy,0.0,0.0
15,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
15,explanation,hidden_normative_subset,0.5,21.0,easy,,
15,explanation,hidden_an_subset,0.5,21.0,easy,,
16,explanation,visible,0.5,21.0,easy,0.0,0.0
16,explanation,hidden,0.5,21.0,easy,0.0,0.0
16,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
16,explanation,hidden_normative_subset,0.5,21.0,easy,,
16,explanation,hidden_an_subset,0.5,21.0,easy,,
17,explanation,visible,0.5,21.0,easy,0.0,0.0
17,explanation,hidden,0.5,21.0,easy,0.0,0.0
17,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
17,explanation,hidden_normative_subset,0.5,21.0,easy,,
17,explanation,hidden_an_subset,0.5,21.0,easy,,
18,explanation,visible,0.5,21.0,easy,0.0,0.0
18,explanation,hidden,0.5,21.0,easy,0.0,0.0
18,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
18,explanation,hidden_normative_subset,0.5,21.0,easy,,
18,explanation,hidden_an_subset,0.5,21.0,easy,,
19,explanation,visible,0.5,21.0,easy,0.0,0.0
19,explanation,hidden,0.5,21.0,easy,0.0,0.0
19,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
19,explanation,hidden_normative_subset,0.5,21.0,easy,,
19,explanation,hidden_an_subset,0.5,21.0,easy,,
20,explanation,visible,0.5,21.0,easy,0.0,0.0
20,explanation,hidden,0.5,21.0,easy,0.0,0.0
20,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
20,explanation,hidden_normative_subset,0.5,21.0,easy,,
20,explanation,hidden_an_subset,0.5,21.0,easy,,
21,explanation,visible,0.5,21.0,easy,0.0,0.0
21,explanation,hidden,0.5,21.0,easy,0.0,0.0
21,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
21,explanation,hidden_normative_subset,0.5,21.0,easy,,
21,explanation,hidden_an_subset,0.5,21.0,easy,,
22,explanation,visible,0.5,21.0,easy,0.0,0.0
22,explanation,hidden,0.5,21.0,easy,0.0,0.0
22,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
22,explanation,hidden_normative_subset,0.5,21.0,easy,,
22,explanation,hidden_an_subset,0.5,21.0,easy,,
23,explanation,visible,0.5,21.0,easy,0.0,0.0
23,explanation,hidden,0.5,21.0,easy,0.0,0.0
23,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
23,explanation,hidden_normative_subset,0.5,21.0,easy,,
23,explanation,hidden_an_subset,0.5,21.0,easy,,
24,explanation,visible,0.5,21.0,easy,0.0,0.0
24,explanation,hidden,0.5,21.0,easy,0.0,0.0
24,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
24,explanation,hidden_normative_subset,0.5,21.0,easy,,
24,explanation,hidden_an_subset,0.5,21.0,easy,,
25,explanation,visible,0.5,21.0,easy,0.0,0.0
25,explanation,hidden,0.5,21.0,easy,0.0,0.0
25,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
25,explanation,hidden_normative_subset,0.5,21.0,easy,,
25,explanation,hidden_an_subset,0.5,21.0,easy,,
26,explanation,visible,0.5,21.0,easy,0.0,0.0
26,explanation,hidden,0.5,21.0,easy,0.0,0.0
26,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
26,explanation,hidden_normative_subset,0.5,21.0,easy,,
26,explanation,hidden_an_subset,0.5,21.0,easy,,
27,explanation,visible,0.5,21.0,easy,0.0,0.0
27,explanation,hidden,0.5,21.0,easy,0.0,0.0
27,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
27,explanation,hidden_normative_subset,0.5,21.0,easy,,
27,explanation,hidden_an_subset,0.5,21.0,easy,,
28,explanation,visible,0.5,21.0,easy,0.0,0.0
28,explanation,hidden,0.5,21.0,easy,0.0,0.0
28,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
28,explanation,hidden_normative_subset,0.5,21.0,easy,,
28,explanation,hidden_an_subset,0.5,21.0,easy,,
29,explanation,visible,0.5,21.0,easy,0.0,0.0
29,explanation,hidden,0.5,21.0,easy,0.0,0.0
29,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
29,explanation,hidden_normative_subset,0.5,21.0,easy,,
29,explanation,hidden_an_subset,0.5,21.0,easy,,
30,explanation,visible,0.5,21.0,easy,0.0,0.0
30,explanation,hidden,0.5,21.0,easy,0.0,0.0
30,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
30,explanation,hidden_normative_subset,0.5,21.0,easy,,
30,explanation,hidden_an_subset,0.5,21.0,easy,,
31,explanation,visible,0.5,21.0,easy,0.0,0.0
31,explanation,hidden,0.5,21.0,easy,0.0,0.0
31,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
31,explanation,hidden_normative_subset,0.5,21.0,easy,,
31,explanation,hidden_an_subset,0.5,21.0,easy,,
32,explanation,visible,0.5,21.0,easy,0.0,0.0
32,explanation,hidden,0.5,21.0,easy,0.0,0.0
32,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
32,explanation,hidden_normative_subset,0.5,21.0,easy,,
32,explanation,hidden_an_subset,0.5,21.0,easy,,
33,explanation,visible,0.5,21.0,easy,0.0,0.0
33,explanation,hidden,0.5,21.0,easy,0.0,0.0
33,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
33,explanation,hidden_normative_subset,0.5,21.0,easy,,
33,explanation,hidden_an_subset,0.5,21.0,easy,,
34,explanation,visible,0.5,21.0,easy,0.0,0.0
34,explanation,hidden,0.5,21.0,easy,0.0,0.0
34,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
34,explanation,hidden_normative_subset,0.5,21.0,easy,,
34,explanation,hidden_an_subset,0.5,21.0,easy,,
35,explanation,visible,0.5,21.0,easy,0.0,0.0
35,explanation,hidden,0.5,21.0,easy,0.0,0.0
35,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
35,explanation,hidden_normative_subset,0.5,21.0,easy,,
35,explanation,hidden_an_subset,0.5,21.0,easy,,
36,explanation,visible,0.5,21.0,easy,0.0,0.0
36,explanation,hidden,0.5,21.0,easy,0.0,0.0
36,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
36,explanation,hidden_normative_subset,0.5,21.0,easy,,
36,explanation,hidden_an_subset,0.5,21.0,easy,,
37,explanation,visible,0.5,21.0,easy,0.0,0.0
37,explanation,hidden,0.5,21.0,easy,0.0,0.0
37,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
37,explanation,hidden_normative_subset,0.5,21.0,easy,,
37,explanation,hidden_an_subset,0.5,21.0,easy,,
38,explanation,visible,0.5,21.0,easy,0.0,0.0
38,explanation,hidden,0.5,21.0,easy,0.0,0.0
38,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
38,explanation,hidden_normative_subset,0.5,21.0,easy,,
38,explanation,hidden_an_subset,0.5,21.0,easy,,
39,explanation,visible,0.5,21.0,easy,0.0,0.0
39,explanation,hidden,0.5,21.0,easy,0.0,0.0
39,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
39,explanation,hidden_normative_subset,0.5,21.0,easy,,
39,explanation,hidden_an_subset,0.5,21.0,easy,,
40,explanation,visible,0.5,21.0,easy,0.0,0.0
40,explanation,hidden,0.5,21.0,easy,0.0,0.0
40,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
40,explanation,hidden_normative_subset,0.5,21.0,easy,,
40,explanation,hidden_an_subset,0.5,21.0,easy,,
41,explanation,visible,0.5,21.0,easy,0.0,0.0
41,explanation,hidden,0.5,21.0,easy,0.0,0.0
41,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
41,explanation,hidden_normative_subset,0.5,21.0,easy,,
41,explanation,hidden_an_subset,0.5,21.0,easy,,
42,explanation,visible,0.5,21.0,easy,0.0,0.0
42,explanation,hidden,0.5,21.0,easy,0.0,0.0
42,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
42,explanation,hidden_normative_subset,0.5,21.0,easy,,
42,explanation,hidden_an_subset,0.5,21.0,easy,,
43,explanation,visible,0.5,21.0,easy,0.0,0.0
43,explanation,hidden,0.5,21.0,easy,0.0,0.0
43,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
43,explanation,hidden_normative_subset,0.5,21.0,easy,,
43,explanation,hidden_an_subset,0.5,21.0,easy,,
44,explanation,visible,0.5,21.0,easy,0.0,0.0
44,explanation,hidden,0.5,21.0,easy,0.0,0.0
44,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
44,explanation,hidden_normative_subset,0.5,21.0,easy,,
44,explanation,hidden_an_subset,0.5,21.0,easy,,
45,explanation,visible,0.5,21.0,easy,0.0,0.0
45,explanation,hidden,0.5,21.0,easy,0.0,0.0
45,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
45,explanation,hidden_normative_subset,0.5,21.0,easy,,
45,explanation,hidden_an_subset,0.5,21.0,easy,,
46,explanation,visible,0.5,21.0,easy,0.0,0.0
46,explanation,hidden,0.5,21.0,easy,0.0,0.0
46,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
46,explanation,hidden_normative_subset,0.5,21.0,easy,,
46,explanation,hidden_an_subset,0.5,21.0,easy,,
47,explanation,visible,0.5,21.0,easy,0.0,0.0
47,explanation,hidden,0.5,21.0,easy,0.0,0.0
47,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
47,explanation,hidden_normative_subset,0.5,21.0,easy,,
47,explanation,hidden_an_subset,0.5,21.0,easy,,
48,explanation,visible,0.5,21.0,easy,0.0,0.0
48,explanation,hidden,0.5,21.0,easy,0.0,0.0
48,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
48,explanation,hidden_normative_subset,0.5,21.0,easy,,
48,explanation,hidden_an_subset,0.5,21.0,easy,,
49,explanation,visible,0.5,21.0,easy,0.0,0.0
49,explanation,hidden,0.5,21.0,easy,0.0,0.0
49,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
49,explanation,hidden_normative_subset,0.5,21.0,easy,,
49,explanation,hidden_an_subset,0.5,21.0,easy,,
50,explanation,visible,0.5,21.0,easy,0.0,0.0
50,explanation,hidden,0.5,21.0,easy,0.0,0.0
50,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
50,explanation,hidden_normative_subset,0.5,21.0,easy,,
50,explanation,hidden_an_subset,0.5,21.0,easy,,
51,explanation,visible,0.5,21.0,easy,0.0,0.0
51,explanation,hidden,0.5,21.0,easy,0.0,0.0
51,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
51,explanation,hidden_normative_subset,0.5,21.0,easy,,
51,explanation,hidden_an_subset,0.5,21.0,easy,,
52,explanation,visible,0.5,21.0,easy,0.0,0.0
52,explanation,hidden,0.5,21.0,easy,0.0,0.0
52,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
52,explanation,hidden_normative_subset,0.5,21.0,easy,,
52,explanation,hidden_an_subset,0.5,21.0,easy,,
53,explanation,visible,0.5,21.0,easy,0.0,0.0
53,explanation,hidden,0.5,21.0,easy,0.0,0.0
53,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
53,explanation,hidden_normative_subset,0.5,21.0,easy,,
53,explanation,hidden_an_subset,0.5,21.0,easy,,
54,explanation,visible,0.5,21.0,easy,0.0,0.0
54,explanation,hidden,0.5,21.0,easy,0.0,0.0
54,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
54,explanation,hidden_normative_subset,0.5,21.0,easy,,
54,explanation,hidden_an_subset,0.5,21.0,easy,,
55,explanation,visible,0.5,21.0,easy,0.0,0.0
55,explanation,hidden,0.5,21.0,easy,0.0,0.0
55,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
55,explanation,hidden_normative_subset,0.5,21.0,easy,,
55,explanation,hidden_an_subset,0.5,21.0,easy,,
56,explanation,visible,0.5,21.0,easy,0.0,0.0
56,explanation,hidden,0.5,21.0,easy,0.0,0.0
56,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
56,explanation,hidden_normative_subset,0.5,21.0,easy,,
56,explanation,hidden_an_subset,0.5,21.0,easy,,
57,explanation,visible,0.5,21.0,easy,0.0,0.0
57,explanation,hidden,0.5,21.0,easy,0.0,0.0
57,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
57,explanation,hidden_normative_subset,0.5,21.0,easy,,
57,explanation,hidden_an_subset,0.5,21.0,easy,,
58,explanation,visible,0.5,21.0,easy,0.0,0.0
58,explanation,hidden,0.5,21.0,easy,0.0,0.0
58,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
58,explanation,hidden_normative_subset,0.5,21.0,easy,,
58,explanation,hidden_an_subset,0.5,21.0,easy,,
59,explanation,visible,0.5,21.0,easy,0.0,0.0
59,explanation,hidden,0.5,21.0,easy,0.0,0.0
59,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
59,explanation,hidden_normative_subset,0.5,21.0,easy,,
59,explanation,hidden_an_subset,0.5,21.0,easy,,
60,explanation,visible,0.5,21.0,easy,0.0,0.0
60,explanation,hidden,0.5,21.0,easy,0.0,0.0
60,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
60,explanation,hidden_normative_subset,0.5,21.0,easy,,
60,explanation,hidden_an_subset,0.5,21.0,easy,,
61,explanation,visible,0.5,21.0,easy,0.0,0.0
61,explanation,hidden,0.5,21.0,easy,0.0,0.0
61,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
61,explanation,hidden_normative_subset,0.5,21.0,easy,,
61,explanation,hidden_an_subset,0.5,21.0,easy,,
62,explanation,visible,0.5,21.0,easy,0.0,0.0
62,explanation,hidden,0.5,21.0,easy,0.0,0.0
62,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
62,explanation,hidden_normative_subset,0.5,21.0,easy,,
62,explanation,hidden_an_subset,0.5,21.0,easy,,
63,explanation,visible,0.5,21.0,easy,0.0,0.0
63,explanation,hidden,0.5,21.0,easy,0.0,0.0
63,explanation,hidden_an,0.5,21.0,easy,0.0,1.0
63,explanation,hidden_normative_subset,0.5,21.0,easy,,
63,explanation,hidden_an_subset,0.5,21.0,easy,,
64,explanation,visible,0.5,21.0,easy,0.0,0.0
64,explanation,hidden,0.5,21.0,easy,0.0,0.0
64,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
64,explanation,hidden_normative_subset,0.5,21.0,easy,,
64,explanation,hidden_an_subset,0.5,21.0,easy,,
65,explanation,visible,0.5,21.0,easy,0.0,0.0
65,explanation,hidden,0.5,21.0,easy,0.0,0.0
65,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
65,explanation,hidden_normative_subset,0.5,21.0,easy,,
65,explanation,hidden_an_subset,0.5,21.0,easy,,
66,explanation,visible,0.5,21.0,easy,0.0,0.0
66,explanation,hidden,0.5,21.0,easy,0.0,0.0
66,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
66,explanation,hidden_normative_subset,0.5,21.0,easy,,
66,explanation,hidden_an_subset,0.5,21.0,easy,,
67,explanation,visible,0.5,21.0,easy,0.0,0.0
67,explanation,hidden,0.5,21.0,easy,0.0,0.0
67,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
67,explanation,hidden_normative_subset,0.5,21.0,easy,,
67,explanation,hidden_an_subset,0.5,21.0,easy,,
68,explanation,visible,0.5,21.0,easy,0.0,0.0
68,explanation,hidden,0.5,21.0,easy,0.0,0.0
68,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
68,explanation,hidden_normative_subset,0.5,21.0,easy,,
68,explanation,hidden_an_subset,0.5,21.0,easy,,
69,explanation,visible,0.5,21.0,easy,0.0,0.0
69,explanation,hidden,0.5,21.0,easy,0.0,0.0
69,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
69,explanation,hidden_normative_subset,0.5,21.0,easy,,
69,explanation,hidden_an_subset,0.5,21.0,easy,,
70,explanation,visible,0.5,21.0,easy,0.0,0.0
70,explanation,hidden,0.5,21.0,easy,0.0,0.0
70,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
70,explanation,hidden_normative_subset,0.5,21.0,easy,,
70,explanation,hidden_an_subset,0.5,21.0,easy,,
71,explanation,visible,0.5,21.0,easy,0.0,0.0
71,explanation,hidden,0.5,21.0,easy,0.0,0.0
71,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
71,explanation,hidden_normative_subset,0.5,21.0,easy,,
71,explanation,hidden_an_subset,0.5,21.0,easy,,
72,explanation,visible,0.5,21.0,easy,0.0,0.0
72,explanation,hidden,0.5,21.0,easy,0.0,0.0
72,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
72,explanation,hidden_normative_subset,0.5,21.0,easy,,
72,explanation,hidden_an_subset,0.5,21.0,easy,,
73,explanation,visible,0.5,21.0,easy,0.0,0.0
73,explanation,hidden,0.5,21.0,easy,0.0,0.0
73,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
73,explanation,hidden_normative_subset,0.5,21.0,easy,,
73,explanation,hidden_an_subset,0.5,21.0,easy,,
74,explanation,visible,0.5,21.0,easy,0.0,0.0
74,explanation,hidden,0.5,21.0,easy,0.0,0.0
74,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
74,explanation,hidden_normative_subset,0.5,21.0,easy,,
74,explanation,hidden_an_subset,0.5,21.0,easy,,
75,explanation,visible,0.5,21.0,easy,0.0,0.0
75,explanation,hidden,0.5,21.0,easy,0.0,0.0
75,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
75,explanation,hidden_normative_subset,0.5,21.0,easy,,
75,explanation,hidden_an_subset,0.5,21.0,easy,,
76,explanation,visible,0.5,21.0,easy,0.0,0.0
76,explanation,hidden,0.5,21.0,easy,0.0,0.0
76,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
76,explanation,hidden_normative_subset,0.5,21.0,easy,,
76,explanation,hidden_an_subset,0.5,21.0,easy,,
77,explanation,visible,0.5,21.0,easy,0.0,0.0
77,explanation,hidden,0.5,21.0,easy,0.0,0.0
77,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
77,explanation,hidden_normative_subset,0.5,21.0,easy,,
77,explanation,hidden_an_subset,0.5,21.0,easy,,
78,explanation,visible,0.5,21.0,easy,0.0,0.0
78,explanation,hidden,0.5,21.0,easy,0.0,0.0
78,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
78,explanation,hidden_normative_subset,0.5,21.0,easy,,
78,explanation,hidden_an_subset,0.5,21.0,easy,,
79,explanation,visible,0.5,21.0,easy,0.0,0.0
79,explanation,hidden,0.5,21.0,easy,0.0,0.0
79,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
79,explanation,hidden_normative_subset,0.5,21.0,easy,,
79,explanation,hidden_an_subset,0.5,21.0,easy,,
80,explanation,visible,0.5,21.0,easy,0.0,0.0
80,explanation,hidden,0.5,21.0,easy,0.0,0.0
80,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
80,explanation,hidden_normative_subset,0.5,21.0,easy,,
80,explanation,hidden_an_subset,0.5,21.0,easy,,
81,explanation,visible,0.5,21.0,easy,0.0,0.0
81,explanation,hidden,0.5,21.0,easy,0.0,0.0
81,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
81,explanation,hidden_normative_subset,0.5,21.0,easy,,
81,explanation,hidden_an_subset,0.5,21.0,easy,,
82,explanation,visible,0.5,21.0,easy,0.0,0.0
82,explanation,hidden,0.5,21.0,easy,0.0,0.0
82,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
82,explanation,hidden_normative_subset,0.5,21.0,easy,,
82,explanation,hidden_an_subset,0.5,21.0,easy,,
83,explanation,visible,0.5,21.0,easy,0.0,0.0
83,explanation,hidden,0.5,21.0,easy,0.0,0.0
83,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
83,explanation,hidden_normative_subset,0.5,21.0,easy,,
83,explanation,hidden_an_subset,0.5,21.0,easy,,
84,explanation,visible,0.5,21.0,easy,0.0,0.0
84,explanation,hidden,0.5,21.0,easy,0.0,0.0
84,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
84,explanation,hidden_normative_subset,0.5,21.0,easy,,
84,explanation,hidden_an_subset,0.5,21.0,easy,,
85,explanation,visible,0.5,21.0,easy,0.0,0.0
85,explanation,hidden,0.5,21.0,easy,0.0,0.0
85,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
85,explanation,hidden_normative_subset,0.5,21.0,easy,,
85,explanation,hidden_an_subset,0.5,21.0,easy,,
86,explanation,visible,0.5,21.0,easy,0.0,0.0
86,explanation,hidden,0.5,21.0,easy,0.0,0.0
86,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
86,explanation,hidden_normative_subset,0.5,21.0,easy,,
86,explanation,hidden_an_subset,0.5,21.0,easy,,
87,explanation,visible,0.5,21.0,easy,0.0,0.0
87,explanation,hidden,0.5,21.0,easy,0.0,0.0
87,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
87,explanation,hidden_normative_subset,0.5,21.0,easy,,
87,explanation,hidden_an_subset,0.5,21.0,easy,,
88,explanation,visible,0.5,21.0,easy,0.0,0.0
88,explanation,hidden,0.5,21.0,easy,0.0,0.0
88,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
88,explanation,hidden_normative_subset,0.5,21.0,easy,,
88,explanation,hidden_an_subset,0.5,21.0,easy,,
89,explanation,visible,0.5,21.0,easy,0.0,0.0
89,explanation,hidden,0.5,21.0,easy,0.0,0.0
89,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
89,explanation,hidden_normative_subset,0.5,21.0,easy,,
89,explanation,hidden_an_subset,0.5,21.0,easy,,
90,explanation,visible,0.5,21.0,easy,0.0,0.0
90,explanation,hidden,0.5,21.0,easy,0.0,0.0
90,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
90,explanation,hidden_normative_subset,0.5,21.0,easy,,
90,explanation,hidden_an_subset,0.5,21.0,easy,,
91,explanation,visible,0.5,21.0,easy,0.0,0.0
91,explanation,hidden,0.5,21.0,easy,0.0,0.0
91,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
91,explanation,hidden_normative_subset,0.5,21.0,easy,,
91,explanation,hidden_an_subset,0.5,21.0,easy,,
92,explanation,visible,0.5,21.0,easy,0.0,0.0
92,explanation,hidden,0.5,21.0,easy,0.0,0.0
92,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
92,explanation,hidden_normative_subset,0.5,21.0,easy,,
92,explanation,hidden_an_subset,0.5,21.0,easy,,
93,explanation,visible,0.5,21.0,easy,0.0,0.0
93,explanation,hidden,0.5,21.0,easy,0.0,0.0
93,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
93,explanation,hidden_normative_subset,0.5,21.0,easy,,
93,explanation,hidden_an_subset,0.5,21.0,easy,,
94,explanation,visible,0.5,21.0,easy,0.0,0.0
94,explanation,hidden,0.5,21.0,easy,0.0,0.0
94,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
94,explanation,hidden_normative_subset,0.5,21.0,easy,,
94,explanation,hidden_an_subset,0.5,21.0,easy,,
95,explanation,visible,0.5,21.0,easy,0.0,0.0
95,explanation,hidden,0.5,21.0,easy,0.0,0.0
95,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
95,explanation,hidden_normative_subset,0.5,21.0,easy,,
95,explanation,hidden_an_subset,0.5,21.0,easy,,
96,explanation,visible,0.5,21.0,easy,0.0,0.0
96,explanation,hidden,0.5,21.0,easy,0.0,0.0
96,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
96,explanation,hidden_normative_subset,0.5,21.0,easy,,
